1001,나의 간절한,나의 간절한 기대와,
1002,나 주님만 찬양해,나 주님만 찬양해,
1003,우리 모두 노래합시다,우리 모두 노래합시다,
1004,사랑의 깃발,사랑의 깃발 들라,
1005,주님 감사를 드려요,주님 감사를 드려요,
1006,그리 아니하실지라도,그리 아니하실 지라도,
1007,이 세상의 그 무엇이,이 세상의 그 무엇이,
1008,주님 없이는 살 수가 없습니다,나는 주님 없이는,
1009,주여! 작은 내 소망을,주여 작은 내 소망을,
1010,창조의 하나님이 나의 아버지,언제나 강물 같은 주의,
1011,하나님의 은혜 (김석균),내 힘으로 안되는 일,
1012,죽임 당하신 어린 양 (최덕신),죽임 당하신 어린양 (최덕신),
1013,내가 가야 할 그 길,내가 가야 할 그 길은,
1014,누구를 위함인가,머리에 가시 면류관,
1015,강물 같은 주의 평화,강물 같은 주의 평화,
1016,너는 내 것이라 (윤용섭),너는 내 것이라고,
1017,오직 생명된 이,잔잔한 호숫가에 돌 하나,
1018,주는 나의 생명의 근원,할렐루야 할렐루야 (김석균),
1019,크게 외치리라,수 많은 세월 속에,
1020,돌아온 탕자,멀고 험한 이 세상 길,
1021,하나님 아버지의 마음,아버지 당신의 마음이,
1022,주님이 오심은,주님이 오심은,
1023,낮엔 해처럼 밤엔 달처럼,낮엔 해처럼 밤엔 달처럼,
1024,오 주여 도우소서,지나온 그 많은 날들,
1025,이 시간 십자가 밑에서,이 시간 십자가 밑에서,
1026,참 좋아라,천국을 소망 삼고,
1027,영광을 주께,영광을 주께 돌려,
1028,구원의 주 예수,구원의 주 예수,
1029,오늘 너의 아픔은,오늘 너의 아픔은,
1030,할렐루야 호산나,할렐루야 할렐루야 (Bruc Clewett),
1031,○○교회,대망의 우뚝 솟은,
1032,예수는 나의 왕,나의 마음이 주를,
1033,부흥,이 땅의 황무함을 보소서,
1034,주를 찬양,세상의 유혹 시험이,
1035,내가 나의 목소리로,내가 나의 목소리로,
1036,주님이 가라시면,주님이 가라시면,
1037,내겐 만족함이 없었네,사람을 보며 세상을,
1038,성전건축 축복송,우리의 기도 응답하시고,
1039,오늘 나는,내가 먼저 손 내밀지,
1040,주 예수를 만날 때까지,넓고 큰 바다 위에,
1041,무겁고 지친,무겁고 치친 십자가를,
